tweet,class,clean_tweet
I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll,2,ill let u clam top let dat nookie pop im dat cookie jar aint rookie girllll
"RT @arigold_88: You and yo bitch break up and she start ""lol"" at another nigga, she gone for good bruh.",1,rt arigold88 yo bitch break start lol another nigga gone good bruh
RT @elchavaloko: @_WhitePonyJr_ @Buckm00se @Eric_Mariners i see you guys kicked this long haired faggot out your lil video game team,1,rt elchavaloko whiteponyjr buckm00se ericmariners see guys kicked long haired faggot lil video game team
"I'm nice to everyone, but don't let this pretty smile confuse you, because i can turn to bitch in nanoseconds.",1,im nice everyone dont let pretty smile confuse turn bitch nanoseconds
&#8220;@WillyC14_: &#8220;@urbie_6: #SingleBecause ill find a cute hoosier to date next year &#128527;&#8221; @Tgold32&#8221; @connorbradley,2,8220willyc14 8220urbie6 singlebecause ill find cute hoosier date next year 1285278221 tgold328221 connorbradley
Called Eddie a hoe.... By mistake doe. Lol,1,called eddie hoe mistake doe lol
This hoe car smell like nigga let off a sweet potato bomb in her shit!,1,hoe car smell like nigga let sweet potato bomb shit
RT @TheVoiceOfMiami: If you got to have every hoe you see you a weak nigga...,1,rt thevoiceofmiami got every hoe see weak nigga
"@DetroitChe bitches be like.. ""it means something to me""",1,detroitche bitches like means something
"RT @awhooker: Contrary to belief, us queers don&#8217;t go around looking for things to be offended about. It&#8217;s just you cisheteros say the darne&#8230;",1,rt awhooker contrary belief us queers don8217t go around looking things offended it8217s cisheteros say darne8230
"RT @VRTWxrk_Flash: Mac 10 lay on the floor like a matress ""@yungchipotle: Young based god came straight for the bitches""",1,rt vrtwxrkflash mac 10 lay floor like matress yungchipotle young based god came straight bitches
"@DeAdJAkE i just cant stand how people get all fucking amped about it, especially whiny bitches that even get scared at it",1,deadjake cant stand people get fucking amped especially whiny bitches even get scared
Can't neva be a sucka for no bitch.. That ain't me,1,cant neva sucka bitch aint
"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe.",1,big boobs ass ass big boobs big boobs big ass ugly face big boobs big ass pretty face hoe
Them queer ass shorts Rabchenko got on,0,queer ass shorts rabchenko got
&#8220;@ThadIsReal: Ladies If a nigga always wanna go out and party every weekend . He basically side hoe shopping&#8221;&#128514;,1,8220thadisreal ladies nigga always wanna go party every weekend basically side hoe shopping8221128514
"I hate when bitches be like ""I love him so much 11/2/2012&lt;3!!!""",1,hate bitches like love much 1122012lt3
"I'm a dick and you ain't even got ya strap on, pussy",1,im dick aint even got ya strap pussy
Never go full retard....,1,never go full retard
&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol,1,8220jaydillz day unblock become man wont happen bitch8221 idisrespecthoez lol
@ArlisDoNotChill @ChiefKeef3OO wheres my bitch wit my sammich then?,1,arlisdonotchill chiefkeef3oo wheres bitch wit sammich
Ronnie Radke's a fucking fag. Fronz owns his ass.,1,ronnie radkes fucking fag fronz owns ass
Your girls pussy smells like sour cream and onions,1,girls pussy smells like sour cream onions
@Titan21Mtzzz you is a hoe,1,titan21mtzzz hoe
Bobby bitch,1,bobby bitch
RT @KarlenaSkiff: Could never date someone with yellow teeth&#128567;,2,rt karlenaskiff could never date someone yellow teeth128567
"She say she want a nigga like me
But that bitch mad cause she can't be my wifey",1,say want nigga like bitch mad cause cant wifey
What a hoe lol,1,hoe lol
@WyattNuckels who do you think I am bitch,1,wyattnuckels think bitch
I can't stand to see my ex with another ugly bitch &#128514;,1,cant stand see ex another ugly bitch 128514
You bitches make me sick,1,bitches make sick
@SeymourBlanco you were supposed to hang w me this week nigger,1,seymourblanco supposed hang w week nigger
Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life,0,bumped bitch filed sexual harassment work coworkeri aint shook life
I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;,1,swear worry nothings keep bitch radar im gay 127383
"RT @Huntermoore: If she doesn't take it in the ass, tell the bitch you'll pass.",1,rt huntermoore doesnt take ass tell bitch youll pass
RT @Miss_Missouri11: Insecurities are such a bitch.,1,rt missmissouri11 insecurities bitch
Is Moyles a retard lol? Starting Fellani instead ae RVP? Please come back Fergie #SirAlexFerguson #ManchesterUnited #ManchesterDerby #MUFC,1,moyles retard lol starting fellani instead ae rvp please come back fergie siralexferguson manchesterunited manchesterderby mufc
Why everybody so hype to see these famous people naked y'all hoes just alike they just got money &#128557;,1,everybody hype see famous people naked yall hoes alike got money 128557
"RT @__iamjazz: ""@shaaaaayy_: i wish i was born in a different generation , cause yall just make my pussy bones hurt . sicken ass children .&#8230;",1,rt iamjazz shaaaaayy wish born different generation cause yall make pussy bones hurt sicken ass children 8230
That's why I tucked yo bitch u ignorant ass mother fucker,1,thats tucked yo bitch u ignorant ass mother fucker
@Z_M_G_ thirsty hoes &#128129;,1,zmg thirsty hoes 128129
Follow ah bitch on ig tho 1inkkofrosess,1,follow ah bitch ig tho 1inkkofrosess
@Deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass,1,deeiiggee hey bitch gonna talk shit tag quit bitch fuck car cause wont hold air dumbass
RT @Lmao: When you eat food that's too hot and start breathing like a retarded dragon.,2,rt lmao eat food thats hot start breathing like retarded dragon
@la_di_daDEE try me pussy,1,ladidadee try pussy
"@jrlikeswhisky @ZwithR @NickEhlers01 You couldn't handle Iowa pussy - here, kitty, kitty, kitty --- http://t.co/1aNMKM4O9Y",1,jrlikeswhisky zwithr nickehlers01 couldnt handle iowa pussy kitty kitty kitty
"@OleanderPlume But no joke I will say NO IT IS NOT an Oleander and wife will say Son of a bitch.. Ron, yes the hell it is get out your book",1,oleanderplume joke say oleander wife say son bitch ron yes hell get book
"RT @ThomasKeneally: Obersturmfuhrer Matthias, my wife is a superb financial brian. Carry on with your labelling in her presence, and see ho&#8230;",2,rt thomaskeneally obersturmfuhrer matthias wife superb financial brian carry labelling presence see ho8230
"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb",2,hoosier fans cody zeller nominating years nba draft iubb
@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,0,andrewjburns1 tommyrussell homo ass crackers
RT @Cspen335: Right you are! Have you heard of the 'dodo' bird? He's the one with Obama on his ass! http://t.co/0qHypwxzYh,1,rt cspen335 right heard dodo bird hes one obama ass
"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum.",1,argylegray jtrevorhowerton hollyrfisher dont give flying fuck think tweets worthless teabagger scum
"RT @SportsCenter: Peyton Manning's remarkable season:
&#8226; 5,477 Pass yds (NFL record)
&#8226; 55 Pass TD (NFL record)
&#8226; 450 completions
&#8226; likely ho&#8230;",2,rt sportscenter peyton mannings remarkable season 8226 5477 pass yds nfl record 8226 55 pass td nfl record 8226 450 completions 8226 likely ho8230
"@wtf_swagggbro text me, my phone being a cunt whore.",1,wtfswagggbro text phone cunt whore
@jaureguisturnt them bitches smell like my farts i been holdin in since 5th grade,1,jaureguisturnt bitches smell like farts holdin since 5th grade
"Someone's mother called me a ""handsome, buff, yellow thang"" last night... my ego was temporarily elevated and @binniemouse was dying lol",2,someones mother called handsome buff yellow thang last night ego temporarily elevated binniemouse dying lol
"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings .",1,dont ask im feelings cause aint bitch dont got tf im sad fucking feelings
@luvvida You're right.. I be around my nig....,0,luvvida youre right around nig
RT @elvisknievil: Hover parents are the ones who bitch the most about their children's dependence.,1,rt elvisknievil hover parents ones bitch childrens dependence
@Wu_Pac @bestfrycook stfu bitch,1,wupac bestfrycook stfu bitch
@FrankieJGrande ugly white bitch,1,frankiejgrande ugly white bitch
That bitch Amanda ran away from me &#128514;,1,bitch amanda ran away 128514
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",1,snakecharmsdump oh yeah fuck bitch
"&#8220;@Nadixo__: ""@joelxmontoya: I'm dreaming &#128525;&#128525; http://t.co/Y21PyZ5rai"" ewwww&#8221;bitch you must be fucked up &#128514;&#128514;",1,8220nadixo joelxmontoya im dreaming 128525128525 e must fucked 128514128514
' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU,1,elza jones whipppppppen drifting last night lol tu niggah
Only the family in my eyes n bitch they rite heree,1,family eyes n bitch rite heree
@slickvick47 @itstattoos it's not colored in... dumb dick,1,slickvick47 itstattoos colored dumb dick
"This Amish bitch was rockin Gucci and her man was smokin a e-cig. Smh fake ass ""Amish"" ass bish!",1,amish bitch rockin gucci man smokin ecig smh fake ass amish ass bish
"Oh look, Cutler didn't step into his throw and threw an int. Nice flat footed throw cunt.",1,oh look cutler didnt step throw threw int nice flat footed throw cunt
"RT @KayciMalynn: @__0utcast___ hey cunt, I miss you too &#128532;",1,rt kaycimalynn 0utcast hey cunt miss 128532
Brrr hoe dichter bij het Sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de proZwartePieten hoek. Engvolk,1,brrr hoe dichter bij het sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de prozwartepieten hoek engvolk
RT @rod4short: Bitch must have a 279.0 &amp; be related to Jesus then {@TheBSharp: GPA or Legacy RT @The_Lion_: How this bitch get in http://t.&#8230;,1,rt rod4short bitch must 2790 amp related jesus thebsharp gpa legacy rt thelion bitch get
All I want is cheesy bread and brownies &#128523;,2,want cheesy bread brownies 128523
RT @AnayaL8ter: I'm sorry ya woman shouldn't be helping you out financially unless that's ya wife these hoes dumb,1,rt anayal8ter im sorry ya woman shouldnt helping financially unless thats ya wife hoes dumb
#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........,2,happycolumbusday hate sound peta callous allbut buffalo lot worse injuns
"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy.",0,roscoedash lmao soft ass nigga trying act tough little bitch sit watch sidelines pussy
RT @_SadisticBitch: I'll never understand how people can fake an entire relationship? I can't even fake a 'hello' to a bitch that I fucking&#8230;,1,rt sadisticbitch ill never understand people fake entire relationship cant even fake hello bitch fucking8230
Hanging with my bitches I couldn't be more happy #thegoodlife,1,hanging bitches couldnt happy thegoodlife
"RT @Yankees: Congrats to Derek Jeter, who will start at shortstop in his 14th and final All-Star Game! #FarewellCaptain http://t.co/5nhtJOx&#8230;",2,rt yankees congrats derek jeter start shortstop 14th final allstar game farewellcaptain
"RT @rustymk2: Not. A. Fucking. Charge. Even. As. A. Juvenile. 

If you call #MichaelBrown a thug at this point, just say ""nigger"" cuz it's &#8230;",1,rt rustymk2 fucking charge even juvenile call michaelbrown thug point say nigger cuz 8230
bitch live a little.,1,bitch live little
@PWilliamsD I need some clams on the half shell :-). Down here all you can get is deep fried clam necks.,2,pwilliamsd need clams half shell get deep fried clam necks
&#8220;@thomasemmanuelm: Colts nation...put yall money up&#8221;bitch chuassup we was just down 24,1,8220thomasemmanuelm colts nationput yall money up8221bitch chuassup 24
late upload bitches,1,late upload bitches
That was trash. I'm just gonna put my phone down. Goodnight,2,trash im gonna put phone goodnight
Fuck all you hoes who keep giving my number to these colleges lmao,1,fuck hoes keep giving number colleges lmao
@Torn_Rose republican teabaggers should be jailed for treason.....,2,tornrose republican teabaggers jailed treason
RT @NaziaBee: &#8220;@1waynostra: So jus don't be faithful cus u never kno what your bitch doing lmao&#8221;&#128553;&#128514;&#128514;&#128514;&#128128;&#128128;&#128128;&#128128;,1,rt naziabee 82201waynostra jus dont faithful cus u never kno bitch lmao8221128553128514128514128514128128128128128128128128
"RT @BrandonTierney: Crooked number followed by shut down frame, love it. #Yankees",2,rt brandontierney crooked number followed shut frame love yankees
"Suzan are you really going to make me get off this sofa to find some damn silverware, by golly you old bitch.",1,suzan really going make get sofa find damn silverware golly old bitch
"@NicoleJeanxoxo @A_Mitchellll13 hahahaha ""move bitch get out the wayyyeee""",1,nicolejeanxoxo amitchellll13 hahahaha move bitch get wayyyeee
RT @WORIDSTARHlPHOP: this kid definitely got the pussy after that game https://t.co/lVXbXMgStD,1,rt woridstarhlphop kid definitely got pussy game
@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger,0,jeffhank lgreiner3 raycewarden bigjohnstudd shut nigger
RT @LorenzoLuciano: Females always complaining about some shit niggas ain't doing right ....like bitches don't have flaws,1,rt lorenzoluciano females always complaining shit niggas aint right like bitches dont flaws
Like stop being a bitch for 3.2 seconds.,1,like stop bitch 32 seconds
"RT @ripstephanie_: ""let my shirt go bitch it's Aeropostale wtf is wrong with you "" &#128514;&#128557;&#128514; https://t.co/xM5s5HN7tq",1,rt ripstephanie let shirt go bitch aeropostale wtf wrong 128514128557128514
RT @KxngFrxsh: If ya friends always trynna get you to break-up wit ya nigga or do THOT shit wit them...Them bitches really ain't ya friends!,1,rt kxngfrxsh ya friends always trynna get breakup wit ya nigga thot shit wit themthem bitches really aint ya friends
RT @JustHad_that: Good pussy &#128166;&#128049; comes with a smart ass mouth &#128068;&#128069; &amp; a crazy ass attitude &#128530;&#128175;,1,rt justhadthat good pussy 128166128049 comes smart ass mouth 128068128069 amp crazy ass attitude 128530128175
Im telling you man! RT @KfromtheG: Roethlisberger got his record expunged and became trash.,2,im telling man rt kfromtheg roethlisberger got record expunged became trash
"&#8220;@KinggKI Im drunk, I'm bout to bitch.&#8221;need a ride?",1,8220kinggki im drunk im bout bitch8221need ride
"RT @snoleezey801: @uce_INA poly ratchets.. Can't stand poly bitches in general &#128514; they loud, annoying, and they talk too much..",1,rt snoleezey801 uceina poly ratchets cant stand poly bitches general 128514 loud annoying talk much
RT @RakwonOGOD: When ya side hoe tryna act up http://t.co/ayfGKVdEZI,1,rt rakwonogod ya side hoe tryna act
Shit is trash,1,shit trash
RT @easy_edd: lifes a bitch,1,rt easyedd lifes bitch
"RT @DamondDAWG: ""Peek a boo bitch, swag scare ya kids"" RT @Now_Thats_Fresh: What's Tyga's worst bar? #TygaBars""",1,rt damonddawg peek boo bitch swag scare ya kids rt nowthatsfresh whats tygas worst bar tygabars
"And i didn't wanna come off as a bitch, so I took another hit, now I think I'm feeling to high",1,didnt wanna come bitch took another hit think im feeling high
ShoutOut to Brooklyn and this $3.47/gal gas. On my way to Atlantic to mess with ghetto girls working at Target now.,1,shoutout brooklyn 347gal gas way atlantic mess ghetto girls working target
85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT,2,85 species birds reported chesterfield great backyard bird count many area
@tcthegreat1 it's yo fault taking a nig out everyday,1,tcthegreat1 yo fault taking nig everyday
RT @yooSlim Y'all Virgo bitches gotta chill thinking y'all Beyonc&#232; &#128514;&#128514;&#128514;,1,rt yooslim yall virgo bitches gotta chill thinking yall beyonc232 128514128514128514
RT @CallMeRenee_: The beat tho &#128076;bitch im trying bone,1,rt callmerenee beat tho 128076bitch im trying bone
@SarahAuten bitch slap that asshole....with a chair!,1,sarahauten bitch slap assholewith chair
&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up,1,8220comedianjayski favorite time da day happy hour drinkbreak8221when bad bitches come ok hoes home makeup
"If you're a male and ""hoes/hos"" and/or ""bitches"" is your default word for women...you gotta go. Remove yourself, please.",1,youre male hoeshos andor bitches default word womenyou gotta go remove please
"RT @AndrogyneAdvent: The thing about Houston and Austin gays is 99% are hoes, ain't no wholesome bitches",1,rt androgyneadvent thing houston austin gays 99 hoes aint wholesome bitches
The redskins should change their name to the injuns,2,redskins change name injuns
Get two birds stoned at one time.,2,get two birds stoned one time
You know i stay on fuck a bitch shit but with a street nigga thats what you gonna get .,1,know stay fuck bitch shit street nigga thats gonna get
Sweet and innocent schoolgirl Minami Asaka&#180;s pussy&#160;eaten http://t.co/DNxBLKrQ45,1,sweet innocent schoolgirl minami asaka180s pussy160eaten
I'm beating bitch jay jay ass when I see this nigga . I really ova here dead tho &#128557;&#128514;&#128128;&#128514;&#128079;,1,im beating bitch jay jay ass see nigga really ova dead tho 128557128514128128128514128079
@vinnyywright I don't care what they is they can catch them hoes,1,vinnyywright dont care catch hoes
"If the Yankees can't beat the Red Sox, they don't even deserve to be in the playoffs #yankees #redsox #mlb",2,yankees cant beat red sox dont even deserve playoffs yankees redsox mlb
RT @RWSurferGirl: Toss 'em out of office? Or just throw 'em in the trash? #trashbucketchallenge has politicians on the run at... https://t.&#8230;,1,rt rwsurfergirl toss em office throw em trash trashbucketchallenge politicians run
I bought him a Sumblime shirt for his birthday too &#128532; I kinda wanna be a cunt and ask for it back lol #IndianGiver,1,bought sumblime shirt birthday 128532 kinda wanna cunt ask back lol indiangiver
"RT @AssholeOfDaYear: I hope my kids don&#8217;t disappoint me by coming out ugly, I got too many plans to get hoes indirectly with them.",1,rt assholeofdayear hope kids don8217t disappoint coming ugly got many plans get hoes indirectly
Sometimes you don't wanna fuck the bitch but her head so good you end up fucking,1,sometimes dont wanna fuck bitch head good end fucking
RT @CuhCuhCuh: white hoes still wear UGG's in hot ass weather cuh,1,rt cuhcuhcuh white hoes still wear uggs hot ass weather cuh
Like my momma said don't waste yo time on plzing des fake ass bitches and bum ass dudes cause they ain't gone get u nowhere but pregnant and,1,like momma said dont waste yo time plzing des fake ass bitches bum ass dudes cause aint gone get u nowhere pregnant
Damn I'm in da mood to eat sum pussy who got it fresh on a platter for me # teamfluffnevabluff,1,damn im da mood eat sum pussy got fresh platter teamfluffnevabluff
Ross got Amber Rose naked these hoes ain't loyal wiz,1,ross got amber rose naked hoes aint loyal wiz
@IamEnidColeslaw He must think you bump pussy. I no mind. I'll eat your #thong and make you #squirt like the #geyser.,1,iamenidcoleslaw must think bump pussy mind ill eat thong make squirt like geyser
RT @ThatsComplex: Hate shit like this bitch can't make a decent meal but can take a hell of a thirst trap http://t.co/uHaON0TJDw&#8221;,1,rt thatscomplex hate shit like bitch cant make decent meal take hell thirst trap
You scared I ain't scared to beat the pussy up,1,scared aint scared beat pussy
Otters would make cool pets if they weren't such cunts.,1,otters would make cool pets werent cunts
Broke pussy boy Deion's record.,1,broke pussy boy deions record
that lil bitch released the exclusive shower photos between niggas. #trustisbroken,1,lil bitch released exclusive shower photos niggas trustisbroken
bruh YouTube a bitch ass nigga bruh on me bruh.,1,bruh youtube bitch ass nigga bruh bruh
If you tell a dyke she looks just like a nigga is that a compliment? I've always wondered that,1,tell dyke looks like nigga compliment ive always wondered
If youu let yo bitch leave with another niggah and don't say shit thats on youu!,1,youu let yo bitch leave another niggah dont say shit thats youu
@radar_online to HELL with the plasticassed bitch!!,1,radaronline hell plasticassed bitch
Maybe next time i day drink ill balance it out with my bitch mary jane cause #ItsLevelsTooThisShit,1,maybe next time day drink ill balance bitch mary jane cause itslevelstoothisshit
How about a Charles in Charge movie with Shia LeBouf as Charlie and Ryan Gosling as Buddy. #WhyNot.,2,charles charge movie shia lebouf charlie ryan gosling buddy whynot
Before I let a pussy cut my hair I just will let it grow,1,let pussy cut hair let grow
"RT @DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;",1,rt dezzzybo want attention yet shes twitter talking getting somebodies dick wet tonight tongue deez hoes g8230
"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",1,rapdreams bitches hold nigga get locked nigga go college military different story 128564
I'll keep all comments to myself about tho.... I'll just laugh about it with my nigs,1,ill keep comments tho ill laugh nigs
@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback,1,cuauhtli02 elchavaloko cafebabybull hes cheating wetback
dumb ugly stupid bullshit ass bitch &#128074;&#128074;&#128074;,0,dumb ugly stupid bullshit ass bitch 128074128074128074
RT @cthagod: All it takes is one bitch ass monkey or human to fuck up every bodies Peace and Serenity.,1,rt cthagod takes one bitch ass monkey human fuck every bodies peace serenity
So you still don't suck dick or eat pussy in 2014?,1,still dont suck dick eat pussy 2014
did this bitch @ViVaLa_Ari really awake me from my slumber to help pick out her avatar tho,1,bitch vivalaari really awake slumber help pick avatar tho
I couldn't press send. That tweet about anchor babies was even too raw for me.,2,couldnt press send tweet anchor babies even raw
"RT @Jordiiin_: &#128514;if you can fuck my bitch , then she ain't ""My Bitch""&#128080;",1,rt jordiiin 128514if fuck bitch aint bitch128080
&#8220;@candacevon: Niggas talk more then bitches these days &#128530;&#8221; #facts,1,8220candacevon niggas talk bitches days 1285308221 facts
As good as Percy Harvin and Peyton on the same team sound&#8230; That&#8217;s so retarded lmao,1,good percy harvin peyton team sound8230 that8217s retarded lmao
Not even sweating these hoes &#128524;&#128588;,1,even sweating hoes 128524128588
RT @FuckYouIsaac_: Maury 70 years old still exposing hoes,1,rt fuckyouisaac maury 70 years old still exposing hoes
RT @Roberto0oO0: @kitten_nugget69 @danusaur aye stfu you dyke lookin bitch I'm pretty sure you have a bigger dick than your boyfriend,1,rt roberto0oo0 kittennugget69 danusaur aye stfu dyke lookin bitch im pretty sure bigger dick boyfriend
I'm sticking with @tha_fluzzy07's theory that black pussy tastes like strawberry milk.,1,im sticking thafluzzy07s theory black pussy tastes like strawberry milk
RT @A_single_bear: I accidentally ate a few fireflies last night while chewing some leaves I found. The shameful yellow glow of my mouth wa&#8230;,2,rt asinglebear accidentally ate fireflies last night chewing leaves found shameful yellow glow mouth wa8230
@Dswizzle3 @Dswizzle boy u look like big bird off of sesame street,2,dswizzle3 dswizzle boy u look like big bird sesame street
RT @bigbluexpress: Cal has a day off and for giggles heads to Yankee stadium to hang with Derek Jeter. Yep coaching at UK is probably weari&#8230;,2,rt bigbluexpress cal day giggles heads yankee stadium hang derek jeter yep coaching uk probably weari8230
too bad ur a pussy,1,bad ur pussy
@FuckingCashBro you&#8217;re a little bitch x2,1,fuckingcashbro you8217re little bitch x2
"RT @MrFourTwentyy: Everybody fckn everybody bitch &amp; everybody with the shit, that's life",1,rt mrfourtwentyy everybody fckn everybody bitch amp everybody shit thats life
"RT @YBkalo: ""@CuhCuhCuh: bitches cant get the ios8 because they have over 10 gb of selfies cuh""&#128514;&#128514;&#128514;",1,rt ybkalo cuhcuhcuh bitches cant get ios8 10 gb selfies cuh128514128514128514
@JawShoeeAhhh bitch answer me lol,1,jawshoeeahhh bitch answer lol
"Holy fuck. White bitch with ""4 baby daddy"" straight goes ""who uses condoms anyways"" 

Bitch maybe you should so you'd stay outta the clinic!",1,holy fuck white bitch 4 baby daddy straight goes uses condoms anyways bitch maybe youd stay outta clinic
&#8220;@44BINKO: Denzy tryna hoe broski Izzy &#128553;&#8221;&#128514;,1,822044binko denzy tryna hoe broski izzy 1285538221128514
Damn Kaepernick is trash man,1,damn kaepernick trash man
RT @_WORDtotheWISE: I love when the birds are chirping in the morning #patsgonnasubtweet,2,rt wordtothewise love birds chirping morning patsgonnasubtweet
"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7",1,dropped stack cause bitch im 1poloboy song called dope download mixtape
RT @Dino_FooL: Y'all ever just been having a normal day and your mind plays a horrible trick on you and give you a whiff of some good pussy&#8230;,1,rt dinofool yall ever normal day mind plays horrible trick give whiff good pussy8230
"LMAOOO @ ""*gasp* that bitch""

Y'all do too much from behind a phone",1,lmaooo gasp bitch yall much behind phone
